Date,Open*,High,Low,Close,Volume
1/1/16,$430.72 ,$436.25 ,$427.52 ,$434.33 ,"$36,278,900 "
1/2/16,$434.62 ,$436.06 ,$431.87 ,$433.44 ,"$30,096,600 "
1/3/16,$433.58 ,$433.74 ,$424.71 ,$430.01 ,"$39,633,800 "
1/4/16,$430.06 ,$434.52 ,$429.08 ,$433.09 ,"$38,477,500 "
1/5/16,$433.07 ,$434.18 ,$429.68 ,$431.96 ,"$34,522,600 "
1/6/16,$431.86 ,$431.86 ,$426.34 ,$429.11 ,"$34,042,500 "
1/7/16,$430.01 ,$458.77 ,$429.08 ,$458.05 ,"$87,562,200 "
1/8/16,$457.54 ,$462.93 ,$447.94 ,$453.23 ,"$56,993,000 "
1/9/16,$453.38 ,$454.64 ,$446.89 ,$447.61 ,"$32,278,000 "
1/10/16,$448.24 ,$448.31 ,$440.35 ,$447.99 ,"$35,995,900 "
1/11/16,$448.70 ,$450.66 ,$443.86 ,$448.43 ,"$40,450,000 "
1/12/16,$448.18 ,$448.18 ,$435.69 ,$435.69 ,"$115,607,000 "
1/13/16,$434.67 ,$435.19 ,$424.44 ,$432.37 ,"$173,888,000 "
1/14/16,$432.29 ,$433.32 ,$427.85 ,$430.31 ,"$43,945,500 "
1/15/16,$430.26 ,$430.26 ,$364.33 ,$364.33 ,"$153,351,008 "
1/16/16,$365.07 ,$390.56 ,$354.91 ,$387.54 ,"$120,352,000 "
1/17/16,$387.15 ,$390.96 ,$380.09 ,$382.30 ,"$45,319,600 "
1/18/16,$381.73 ,$388.10 ,$376.67 ,$387.17 ,"$54,403,900 "
1/19/16,$387.03 ,$387.73 ,$378.97 ,$380.15 ,"$46,819,800 "
1/20/16,$379.74 ,$425.27 ,$376.60 ,$420.23 ,"$121,720,000 "
1/21/16,$419.63 ,$422.88 ,$406.30 ,$410.26 ,"$68,338,000 "
1/22/16,$409.75 ,$410.41 ,$375.28 ,$382.49 ,"$91,546,600 "
1/23/16,$382.43 ,$394.54 ,$381.98 ,$387.49 ,"$56,247,400 "
1/24/16,$388.10 ,$405.48 ,$387.51 ,$402.97 ,"$54,824,800 "
